"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","667","delete object using given id","chromium","2026-06-24","failed","2026-06-24","","api-testing/05-deleteApi.spec.ts","",""
"","549","Login with invalid password","chromium","2026-06-24","passed","2026-06-24","","loginAsgPom.spec.ts","",""
"","567","Login without username","chromium","2026-06-24","passed","2026-06-24","","loginAsgPom.spec.ts","",""
"","989","Test Login","chromium","2026-06-24","passed","2026-06-24","","loginPositive.spec.ts","",""
"","1016","Verify valid login","chromium","2026-06-24","passed","2026-06-24","","loginAsgPom.spec.ts","",""
"","259","Verify user can open Playwright website","chromium","2026-06-24","passed","2026-06-24","","myFisrtTest.spec.ts","",""
"","377","Login with invalid username","chromium","2026-06-24","passed","2026-06-24","","loginAsgPom.spec.ts","",""
"","1879","Negative Username","chromium","2026-06-24","passed","2026-06-24","","usernameNegative.spec.ts","",""
"","1471","Login test (ENV) - student","chromium","2026-06-24","passed","2026-06-24","","loginEnv.spec.ts","",""
"","335","Login with empty credentials","chromium","2026-06-24","passed","2026-06-24","","loginAsgPom.spec.ts","",""
"","663","should update an existing Apple MacBook Pro 16 object","chromium","2026-06-24","passed","2026-06-24","Restful API - PUT Update Object","api-testing/03-putApi.spec.ts","",""
"","665","patch known object id (from post) ff8081819d82fab6019ef82fe3d452df","chromium","2026-06-24","failed","2026-06-24","Restful API - PATCH Partial Update Object","api-testing/04-patchApi.spec.ts","",""
"","383","allow users to log in with valid credentials","chromium","2026-06-24","passed","2026-06-24","Login page","Locators.spec.ts","",""
"","778","should create a single Apple MacBook Pro 16 object","chromium","2026-06-24","passed","2026-06-24","Restful API - POST Single Object (MacBook Pro 16)","api-testing/01-postApi.spec.ts","",""
"","5952","Negative Username","chromium","2026-06-24","passed","2026-06-24","","passwordNegative.spec.ts","",""
"","1757","test1","chromium","2026-06-24","passed","2026-06-24","","functions.spec.ts","",""
"","1651","Login test - student","chromium","2026-06-24","passed","2026-06-24","","loginJson.spec.ts","",""
"","325","Get /objects should return list of objects","chromium","2026-06-24","passed","2026-06-24","","api-testing/02-getApi.spec.ts","",""
"","667","patch non-existent id should not be ok","chromium","2026-06-24","passed","2026-06-24","Restful API - PATCH Partial Update Object","api-testing/04-patchApi.spec.ts","",""
"","1064","should partially update an existing Apple MacBook Pro 16 object","chromium","2026-06-24","failed","2026-06-24","Restful API - PATCH Partial Update Object","api-testing/04-patchApi.spec.ts","",""
"","368","Login without password","chromium","2026-06-24","passed","2026-06-24","","loginAsgPom.spec.ts","",""
